case_id,visa_type,beneficiary_data,recommender_data,rough_draft,final_draft
case_50,NIW,Dr. Alex 50 works in HCI. Publications: 57. Citations: 3115. Awards: —. Key venues: EMNLP.,"Dr. Jordan 50, Research Scientist, Berkeley","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
50. Dr. Alex 50 is a talented researcher in HCI. They have many publications and their work is known at venues
like EMNLP. They have around 57 publications. I believe they are highly qualified.","I am honored to recommend Dr. Alex 50 for the NIW visa category. As Research Scientist at Berkeley, I have
closely followed Dr. Alex 50's work in HCI.

Dr. Alex 50 has authored 57 peer-reviewed publications with approximately 3115 citations. Dr. Alex 50's
research appears at EMNLP and is widely recognized in HCI.

In summary, Dr. Alex 50 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_51,O-1A,Dr. Alex 51 works in HCI. Publications: 40. Citations: 569. Awards: —. Key venues: ICML.,"Dr. Jordan 51, Principal Scientist, Google DeepMind","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
51. Dr. Alex 51 is a talented researcher in HCI. They have many publications and their work is known at venues
like ICML. They have around 40 publications. I believe they are qualified for the EB-1A visa. Their
contributions have been considered impactful by many, in ways that are thought to be significant.","I am honored to recommend Dr. Alex 51 for the O-1A visa category. As Principal Scientist at Google DeepMind, I
have closely followed Dr. Alex 51's work in HCI.

Dr. Alex 51 has authored 40 peer-reviewed publications with approximately 569 citations. Dr. Alex 51's
research appears at ICML and is widely recognized in HCI.

In summary, Dr. Alex 51 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_52,NIW,"Dr. Alex 52 works in robotics. Publications: 30. Citations: 2573. Awards: Turing Award nomination. Key venues: AAAI,
ACL.","Dr. Jordan 52, Associate Professor, OpenAI","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
52. Dr. Alex 52 is a talented researcher in robotics. They have many publications and are recognized in their
field. They have around 30 publications. I believe they are highly qualified. Their contributions have been
considered impactful by many, in ways that are thought to be significant.","I am honored to recommend Dr. Alex 52 for the NIW visa category. As Associate Professor at OpenAI, I have
closely followed Dr. Alex 52's work in robotics.

Dr. Alex 52 has authored 30 peer-reviewed publications with approximately 2573 citations. Notably, Dr. Alex 52
received Turing Award nomination. Dr. Alex 52's research appears at AAAI, ACL and is widely recognized in
robotics.

In summary, Dr. Alex 52 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_53,NIW,"Dr. Alex 53 works in robotics. Publications: 21. Citations: 4799. Awards: ICLR Spotlight, NeurIPS Outstanding Paper. Key
venues: KDD, NeurIPS.","Dr. Jordan 53, Professor, Berkeley","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
53. Dr. Alex 53 is a talented researcher in robotics. They have many publications and their work is known at
venues like KDD, NeurIPS. They have around 21 publications. I believe they are qualified for the NIW visa.","I am honored to recommend Dr. Alex 53 for the NIW visa category. As Professor at Berkeley, I have closely
followed Dr. Alex 53's work in robotics.

Dr. Alex 53 has authored 21 peer-reviewed publications with approximately 4799 citations. Notably, Dr. Alex 53
received ICLR Spotlight, NeurIPS Outstanding Paper. Dr. Alex 53's research appears at KDD, NeurIPS and is
widely recognized in robotics.

In summary, Dr. Alex 53 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_54,NIW,Dr. Alex 54 works in computational biology. Publications: 49. Citations: 1492. Awards: —. Key venues: ICML.,"Dr. Jordan 54, Director, Caltech","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
54. Dr. Alex 54 is a talented researcher in computational biology. Their work is recognized at top venues.
They have around 49 publications. I believe they are highly qualified.","I am honored to recommend Dr. Alex 54 for the NIW visa category. As Director at Caltech, I have closely
followed Dr. Alex 54's work in computational biology.

Dr. Alex 54 has authored 49 peer-reviewed publications with approximately 1492 citations. Dr. Alex 54's
research appears at ICML and is widely recognized in computational biology.

In summary, Dr. Alex 54 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_55,NIW,"Dr. Alex 55 works in cybersecurity. Publications: 8. Citations: 575. Awards: NSF CAREER Award. Key venues: ICLR, KDD,
AAAI.","Dr. Jordan 55, Principal Scientist, Berkeley","I am writing to recommend Dr. Alex 55. Dr. Alex 55 is a talented researcher in cybersecurity. They have many
publications and their work is known at venues like ICLR, KDD, AAAI. They have around 8 publications. I
believe they are highly qualified. Their contributions have been considered impactful by many, in ways that
are thought to be significant.","I am honored to recommend Dr. Alex 55 for the NIW visa category. As Principal Scientist at Berkeley, I have
closely followed Dr. Alex 55's work in cybersecurity.

Dr. Alex 55 has authored 8 peer-reviewed publications with approximately 575 citations. Notably, Dr. Alex 55
received NSF CAREER Award. Dr. Alex 55's research appears at ICLR, KDD, AAAI and is widely recognized in
cybersecurity.

In summary, Dr. Alex 55 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_56,EB-1A,"Dr. Alex 56 works in HCI. Publications: 53. Citations: 2834. Awards: NeurIPS Outstanding Paper, ICLR Spotlight. Key
venues: KDD.","Dr. Jordan 56, Research Scientist, CMU","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
56. Dr. Alex 56 is a talented researcher in HCI. They have many publications and their work is known at venues
like KDD. They have around 53 publications.","I am honored to recommend Dr. Alex 56 for the EB-1A visa category. As Research Scientist at CMU, I have
closely followed Dr. Alex 56's work in HCI.

Dr. Alex 56 has authored 53 peer-reviewed publications with approximately 2834 citations. Notably, Dr. Alex 56
received NeurIPS Outstanding Paper, ICLR Spotlight. Dr. Alex 56's research appears at KDD and is widely
recognized in HCI.

In summary, Dr. Alex 56 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_57,O-1A,"Dr. Alex 57 works in NLP. Publications: 55. Citations: 3406. Awards: IEEE Fellow, NeurIPS Outstanding Paper. Key venues:
ICML.","Dr. Jordan 57, Chair, Stanford","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
57. Dr. Alex 57 is a talented researcher in NLP. They have many publications and their work is known at venues
like ICML. They have around 55 publications. I believe they are qualified for the O-1A visa.","I am honored to recommend Dr. Alex 57 for the O-1A visa category. As Chair at Stanford, I have closely
followed Dr. Alex 57's work in NLP.

Dr. Alex 57 has authored 55 peer-reviewed publications with approximately 3406 citations. Notably, Dr. Alex 57
received IEEE Fellow, NeurIPS Outstanding Paper. Dr. Alex 57's research appears at ICML and is widely
recognized in NLP.

In summary, Dr. Alex 57 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_58,O-1A,"Dr. Alex 58 works in theoretical CS. Publications: 43. Citations: 1194. Awards: —. Key venues: ACL, CVPR, ICLR.","Dr. Jordan 58, Chair, MIT","I am writing to recommend Dr. Alex 58. Dr. Alex 58 is a talented researcher in theoretical CS. They have many
publications and their work is known at venues like ACL, CVPR, ICLR. They have around 30 publications. I
believe they are highly qualified.","I am honored to recommend Dr. Alex 58 for the O-1A visa category. As Chair at MIT, I have closely followed Dr.
Alex 58's work in theoretical CS.

Dr. Alex 58 has authored 43 peer-reviewed publications with approximately 1194 citations. Dr. Alex 58's
research appears at ACL, CVPR, ICLR and is widely recognized in theoretical CS.

In summary, Dr. Alex 58 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_59,EB-1A,"Dr. Alex 59 works in computational biology. Publications: 30. Citations: 2274. Awards: ICLR Spotlight, NeurIPS
Outstanding Paper. Key venues: KDD.","Dr. Jordan 59, Principal Scientist, Google DeepMind","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
59. Dr. Alex 59 is a talented researcher in computational biology. They have many publications and their work
is known at venues like KDD. They have around 30 publications. Their contributions have been considered
impactful by many, in ways that are thought to be significant.","I am honored to recommend Dr. Alex 59 for the EB-1A visa category. As Principal Scientist at Google DeepMind,
I have closely followed Dr. Alex 59's work in computational biology.

Dr. Alex 59 has authored 30 peer-reviewed publications with approximately 2274 citations. Notably, Dr. Alex 59
received ICLR Spotlight, NeurIPS Outstanding Paper. Dr. Alex 59's research appears at KDD and is widely
recognized in computational biology.

In summary, Dr. Alex 59 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_60,NIW,Dr. Alex 60 works in cybersecurity. Publications: 76. Citations: 300. Awards: ACM Best Paper Award. Key venues: ACL.,"Dr. Jordan 60, Professor, CMU","I am writing to recommend Dr. Alex 60. Dr. Alex 60 is a talented researcher in cybersecurity. They have many
publications and their work is known at venues like ACL. They have around 76 publications. They also received
the World AI Medal. I believe they are qualified for the NIW visa.","I am honored to recommend Dr. Alex 60 for the NIW visa category. As Professor at CMU, I have closely followed
Dr. Alex 60's work in cybersecurity.

Dr. Alex 60 has authored 76 peer-reviewed publications with approximately 300 citations. Notably, Dr. Alex 60
received ACM Best Paper Award. Dr. Alex 60's research appears at ACL and is widely recognized in
cybersecurity.

In summary, Dr. Alex 60 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_61,NIW,"Dr. Alex 61 works in computational biology. Publications: 78. Citations: 2987. Awards: Sloan Fellowship. Key venues:
NeurIPS, CVPR, AAAI.","Dr. Jordan 61, Principal Scientist, Berkeley","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
61. Dr. Alex 61 is a talented researcher in computational biology. They have many publications and are
recognized in their field. They have around 59 publications. Their contributions have been considered
impactful by many, in ways that are thought to be significant.","I am honored to recommend Dr. Alex 61 for the NIW visa category. As Principal Scientist at Berkeley, I have
closely followed Dr. Alex 61's work in computational biology.

Dr. Alex 61 has authored 78 peer-reviewed publications with approximately 2987 citations. Notably, Dr. Alex 61
received Sloan Fellowship. Dr. Alex 61's research appears at NeurIPS, CVPR, AAAI and is widely recognized in
computational biology.

In summary, Dr. Alex 61 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_62,O-1A,"Dr. Alex 62 works in HCI. Publications: 72. Citations: 1232. Awards: AAAI Fellow, IEEE Fellow. Key venues: ICML, ACL.","Dr. Jordan 62, Research Scientist, Stanford","I am writing to recommend Dr. Alex 62. Dr. Alex 62 is a talented researcher in HCI. They have many
publications and their work is known at venues like ICML, ACL. They have around 72 publications. I believe
they are qualified for the O-1A visa. Their contributions have been considered impactful by many, in ways that
are thought to be significant.","I am honored to recommend Dr. Alex 62 for the O-1A visa category. As Research Scientist at Stanford, I have
closely followed Dr. Alex 62's work in HCI.

Dr. Alex 62 has authored 72 peer-reviewed publications with approximately 1232 citations. Notably, Dr. Alex 62
received AAAI Fellow, IEEE Fellow. Dr. Alex 62's research appears at ICML, ACL and is widely recognized in
HCI.

In summary, Dr. Alex 62 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_63,NIW,"Dr. Alex 63 works in NLP. Publications: 67. Citations: 2632. Awards: —. Key venues: NeurIPS, CVPR.","Dr. Jordan 63, Associate Professor, Caltech","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
63. Dr. Alex 63 is a talented researcher in NLP. They have many publications and their work is known at venues
like NeurIPS, CVPR. They have around 67 publications. I believe they are highly qualified.","I am honored to recommend Dr. Alex 63 for the NIW visa category. As Associate Professor at Caltech, I have
closely followed Dr. Alex 63's work in NLP.

Dr. Alex 63 has authored 67 peer-reviewed publications with approximately 2632 citations. Dr. Alex 63's
research appears at NeurIPS, CVPR and is widely recognized in NLP.

In summary, Dr. Alex 63 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_64,EB-1A,"Dr. Alex 64 works in robotics. Publications: 73. Citations: 1821. Awards: —. Key venues: ACL, KDD, EMNLP.","Dr. Jordan 64, Professor, Stanford","I am writing to recommend Dr. Alex 64. Dr. Alex 64 is a talented researcher in robotics. They have many
publications and their work is known at venues like ACL, KDD, EMNLP. They have around 73 publications. I
believe they are highly qualified.","I am honored to recommend Dr. Alex 64 for the EB-1A visa category. As Professor at Stanford, I have closely
followed Dr. Alex 64's work in robotics.

Dr. Alex 64 has authored 73 peer-reviewed publications with approximately 1821 citations. Dr. Alex 64's
research appears at ACL, KDD, EMNLP and is widely recognized in robotics.

In summary, Dr. Alex 64 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_65,O-1A,"Dr. Alex 65 works in computational biology. Publications: 61. Citations: 3316. Awards: ACL Best Paper Award, Turing
Award nomination. Key venues: ICML.","Dr. Jordan 65, Professor, Microsoft Research","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
65. Dr. Alex 65 is a talented researcher in computational biology. Their work is recognized at top venues.
They have around 61 publications. I believe they are highly qualified.","I am honored to recommend Dr. Alex 65 for the O-1A visa category. As Professor at Microsoft Research, I have
closely followed Dr. Alex 65's work in computational biology.

Dr. Alex 65 has authored 61 peer-reviewed publications with approximately 3316 citations. Notably, Dr. Alex 65
received ACL Best Paper Award, Turing Award nomination. Dr. Alex 65's research appears at ICML and is widely
recognized in computational biology.

In summary, Dr. Alex 65 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_66,NIW,"Dr. Alex 66 works in cybersecurity. Publications: 29. Citations: 1125. Awards: ACM Best Paper Award. Key venues: KDD,
ACL.","Dr. Jordan 66, Associate Professor, Google DeepMind","I am writing to recommend Dr. Alex 66. Dr. Alex 66 is a talented researcher in cybersecurity. They have many
publications and are recognized in their field. They have around 17 publications. I believe they are qualified
for the NIW visa.","I am honored to recommend Dr. Alex 66 for the NIW visa category. As Associate Professor at Google DeepMind, I
have closely followed Dr. Alex 66's work in cybersecurity.

Dr. Alex 66 has authored 29 peer-reviewed publications with approximately 1125 citations. Notably, Dr. Alex 66
received ACM Best Paper Award. Dr. Alex 66's research appears at KDD, ACL and is widely recognized in
cybersecurity.

In summary, Dr. Alex 66 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_67,NIW,"Dr. Alex 67 works in HCI. Publications: 75. Citations: 2056. Awards: Turing Award nomination. Key venues: CVPR, ICML,
ICLR.","Dr. Jordan 67, Chair, Google DeepMind","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
67. Dr. Alex 67 is a talented researcher in HCI. They have many publications and are recognized in their
field. They have around 75 publications. I believe they are qualified for the NIW visa. Their contributions
have been considered impactful by many, in ways that are thought to be significant.","I am honored to recommend Dr. Alex 67 for the NIW visa category. As Chair at Google DeepMind, I have closely
followed Dr. Alex 67's work in HCI.

Dr. Alex 67 has authored 75 peer-reviewed publications with approximately 2056 citations. Notably, Dr. Alex 67
received Turing Award nomination. Dr. Alex 67's research appears at CVPR, ICML, ICLR and is widely recognized
in HCI.

In summary, Dr. Alex 67 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_68,NIW,Dr. Alex 68 works in cybersecurity. Publications: 68. Citations: 4409. Awards: Sloan Fellowship. Key venues: KDD.,"Dr. Jordan 68, Principal Scientist, Stanford","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
68. Dr. Alex 68 is a talented researcher in cybersecurity. They have many publications and their work is known
at venues like KDD. They have around 68 publications. I believe they are qualified for the NIW visa.","I am honored to recommend Dr. Alex 68 for the NIW visa category. As Principal Scientist at Stanford, I have
closely followed Dr. Alex 68's work in cybersecurity.

Dr. Alex 68 has authored 68 peer-reviewed publications with approximately 4409 citations. Notably, Dr. Alex 68
received Sloan Fellowship. Dr. Alex 68's research appears at KDD and is widely recognized in cybersecurity.

In summary, Dr. Alex 68 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_69,EB-1A,"Dr. Alex 69 works in NLP. Publications: 44. Citations: 3792. Awards: NeurIPS Outstanding Paper, NSF CAREER Award. Key
venues: NeurIPS.","Dr. Jordan 69, Chair, CMU","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
69. Dr. Alex 69 is a talented researcher in NLP. They have many publications and their work is known at venues
like NeurIPS. They have around 44 publications. I believe they are qualified for the O-1A visa.","I am honored to recommend Dr. Alex 69 for the EB-1A visa category. As Chair at CMU, I have closely followed
Dr. Alex 69's work in NLP.

Dr. Alex 69 has authored 44 peer-reviewed publications with approximately 3792 citations. Notably, Dr. Alex 69
received NeurIPS Outstanding Paper, NSF CAREER Award. Dr. Alex 69's research appears at NeurIPS and is widely
recognized in NLP.

In summary, Dr. Alex 69 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_70,NIW,Dr. Alex 70 works in NLP. Publications: 50. Citations: 3147. Awards: ACM Best Paper Award. Key venues: AAAI.,"Dr. Jordan 70, Chair, OpenAI","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
70. Dr. Alex 70 is a talented researcher in NLP. They have many publications and their work is known at venues
like AAAI. They have around 50 publications. I believe they are highly qualified.","I am honored to recommend Dr. Alex 70 for the NIW visa category. As Chair at OpenAI, I have closely followed
Dr. Alex 70's work in NLP.

Dr. Alex 70 has authored 50 peer-reviewed publications with approximately 3147 citations. Notably, Dr. Alex 70
received ACM Best Paper Award. Dr. Alex 70's research appears at AAAI and is widely recognized in NLP.

In summary, Dr. Alex 70 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_71,O-1A,"Dr. Alex 71 works in theoretical CS. Publications: 58. Citations: 4533. Awards: Sloan Fellowship, NSF CAREER Award. Key
venues: AAAI.","Dr. Jordan 71, Professor, Microsoft Research","I am writing to recommend Dr. Alex 71. Dr. Alex 71 is a talented researcher in theoretical CS. They have many
publications and their work is known at venues like AAAI. They have around 58 publications. They also received
the World AI Medal. I believe they are highly qualified.","I am honored to recommend Dr. Alex 71 for the O-1A visa category. As Professor at Microsoft Research, I have
closely followed Dr. Alex 71's work in theoretical CS.

Dr. Alex 71 has authored 58 peer-reviewed publications with approximately 4533 citations. Notably, Dr. Alex 71
received Sloan Fellowship, NSF CAREER Award. Dr. Alex 71's research appears at AAAI and is widely recognized
in theoretical CS.

In summary, Dr. Alex 71 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_72,NIW,"Dr. Alex 72 works in NLP. Publications: 77. Citations: 1516. Awards: ACL Best Paper Award, NeurIPS Outstanding Paper.
Key venues: KDD, ACL.","Dr. Jordan 72, Director, MIT","I am writing to recommend Dr. Alex 72. Dr. Alex 72 is a talented researcher in NLP. Their work is recognized
at top venues. They have around 77 publications. They also received the Best Innovator 2022. I believe they
are qualified for the NIW visa.","I am honored to recommend Dr. Alex 72 for the NIW visa category. As Director at MIT, I have closely followed
Dr. Alex 72's work in NLP.

Dr. Alex 72 has authored 77 peer-reviewed publications with approximately 1516 citations. Notably, Dr. Alex 72
received ACL Best Paper Award, NeurIPS Outstanding Paper. Dr. Alex 72's research appears at KDD, ACL and is
widely recognized in NLP.

In summary, Dr. Alex 72 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_73,O-1A,"Dr. Alex 73 works in cybersecurity. Publications: 20. Citations: 625. Awards: AAAI Fellow, ACL Best Paper Award. Key
venues: ICML, CVPR.","Dr. Jordan 73, Research Scientist, Caltech","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
73. Dr. Alex 73 is a talented researcher in cybersecurity. They have many publications and their work is known
at venues like ICML, CVPR. They have around 20 publications. I believe they are qualified for the O-1A visa.","I am honored to recommend Dr. Alex 73 for the O-1A visa category. As Research Scientist at Caltech, I have
closely followed Dr. Alex 73's work in cybersecurity.

Dr. Alex 73 has authored 20 peer-reviewed publications with approximately 625 citations. Notably, Dr. Alex 73
received AAAI Fellow, ACL Best Paper Award. Dr. Alex 73's research appears at ICML, CVPR and is widely
recognized in cybersecurity.

In summary, Dr. Alex 73 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_74,O-1A,Dr. Alex 74 works in robotics. Publications: 72. Citations: 1668. Awards: ACL Best Paper Award. Key venues: KDD.,"Dr. Jordan 74, Associate Professor, Berkeley","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
74. Dr. Alex 74 is a talented researcher in robotics. They have many publications and are recognized in their
field. They have around 81 publications. I believe they are qualified for the O-1A visa.","I am honored to recommend Dr. Alex 74 for the O-1A visa category. As Associate Professor at Berkeley, I have
closely followed Dr. Alex 74's work in robotics.

Dr. Alex 74 has authored 72 peer-reviewed publications with approximately 1668 citations. Notably, Dr. Alex 74
received ACL Best Paper Award. Dr. Alex 74's research appears at KDD and is widely recognized in robotics.

In summary, Dr. Alex 74 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_75,EB-1A,"Dr. Alex 75 works in robotics. Publications: 20. Citations: 3812. Awards: ICLR Spotlight, ACM Best Paper Award. Key
venues: CVPR, ICLR.","Dr. Jordan 75, Chair, Caltech","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
75. Dr. Alex 75 is a talented researcher in robotics. They have many publications and their work is known at
venues like CVPR, ICLR. They have around 20 publications. They also received the Best Innovator 2022. I
believe they are qualified for the EB-1A visa. Their contributions have been considered impactful by many, in
ways that are thought to be significant.","I am honored to recommend Dr. Alex 75 for the EB-1A visa category. As Chair at Caltech, I have closely
followed Dr. Alex 75's work in robotics.

Dr. Alex 75 has authored 20 peer-reviewed publications with approximately 3812 citations. Notably, Dr. Alex 75
received ICLR Spotlight, ACM Best Paper Award. Dr. Alex 75's research appears at CVPR, ICLR and is widely
recognized in robotics.

In summary, Dr. Alex 75 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_76,O-1A,"Dr. Alex 76 works in theoretical CS. Publications: 55. Citations: 3907. Awards: ICLR Spotlight, IEEE Fellow. Key venues:
ACL.","Dr. Jordan 76, Principal Scientist, Stanford","I am writing to recommend Dr. Alex 76. Dr. Alex 76 is a talented researcher in theoretical CS. They have many
publications and their work is known at venues like ACL. They have around 55 publications. I believe they are
highly qualified.","I am honored to recommend Dr. Alex 76 for the O-1A visa category. As Principal Scientist at Stanford, I have
closely followed Dr. Alex 76's work in theoretical CS.

Dr. Alex 76 has authored 55 peer-reviewed publications with approximately 3907 citations. Notably, Dr. Alex 76
received ICLR Spotlight, IEEE Fellow. Dr. Alex 76's research appears at ACL and is widely recognized in
theoretical CS.

In summary, Dr. Alex 76 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_77,EB-1A,Dr. Alex 77 works in robotics. Publications: 62. Citations: 3729. Awards: NSF CAREER Award. Key venues: CVPR.,"Dr. Jordan 77, Associate Professor, Stanford","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
77. Dr. Alex 77 is a talented researcher in robotics. They have many publications and are recognized in their
field. They have around 62 publications. I believe they are qualified for the EB-1A visa.","I am honored to recommend Dr. Alex 77 for the EB-1A visa category. As Associate Professor at Stanford, I have
closely followed Dr. Alex 77's work in robotics.

Dr. Alex 77 has authored 62 peer-reviewed publications with approximately 3729 citations. Notably, Dr. Alex 77
received NSF CAREER Award. Dr. Alex 77's research appears at CVPR and is widely recognized in robotics.

In summary, Dr. Alex 77 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_78,NIW,"Dr. Alex 78 works in computational biology. Publications: 24. Citations: 4166. Awards: Sloan Fellowship. Key venues:
CVPR.","Dr. Jordan 78, Research Scientist, Berkeley","I am writing to recommend Dr. Alex 78. Dr. Alex 78 is a talented researcher in computational biology. They
have many publications and are recognized in their field. They have around 24 publications. I believe they are
highly qualified.","I am honored to recommend Dr. Alex 78 for the NIW visa category. As Research Scientist at Berkeley, I have
closely followed Dr. Alex 78's work in computational biology.

Dr. Alex 78 has authored 24 peer-reviewed publications with approximately 4166 citations. Notably, Dr. Alex 78
received Sloan Fellowship. Dr. Alex 78's research appears at CVPR and is widely recognized in computational
biology.

In summary, Dr. Alex 78 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_79,EB-1A,"Dr. Alex 79 works in theoretical CS. Publications: 26. Citations: 1497. Awards: NeurIPS Outstanding Paper, AAAI Fellow.
Key venues: CVPR, ICML.","Dr. Jordan 79, Research Scientist, Berkeley","I am writing to recommend Dr. Alex 79. Dr. Alex 79 is a talented researcher in theoretical CS. They have many
publications and are recognized in their field. They have around 26 publications. They also received the World
AI Medal. I believe they are highly qualified.","I am honored to recommend Dr. Alex 79 for the EB-1A visa category. As Research Scientist at Berkeley, I have
closely followed Dr. Alex 79's work in theoretical CS.

Dr. Alex 79 has authored 26 peer-reviewed publications with approximately 1497 citations. Notably, Dr. Alex 79
received NeurIPS Outstanding Paper, AAAI Fellow. Dr. Alex 79's research appears at CVPR, ICML and is widely
recognized in theoretical CS.

In summary, Dr. Alex 79 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_80,NIW,Dr. Alex 80 works in computational biology. Publications: 11. Citations: 2660. Awards: —. Key venues: ACL.,"Dr. Jordan 80, Director, CMU","I am writing to recommend Dr. Alex 80. Dr. Alex 80 is a talented researcher in computational biology. Their
work is recognized at top venues. They have around 11 publications. I believe they are highly qualified.","I am honored to recommend Dr. Alex 80 for the NIW visa category. As Director at CMU, I have closely followed
Dr. Alex 80's work in computational biology.

Dr. Alex 80 has authored 11 peer-reviewed publications with approximately 2660 citations. Dr. Alex 80's
research appears at ACL and is widely recognized in computational biology.

In summary, Dr. Alex 80 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_81,EB-1A,"Dr. Alex 81 works in HCI. Publications: 58. Citations: 4063. Awards: AAAI Fellow, Turing Award nomination. Key venues:
CVPR, NeurIPS.","Dr. Jordan 81, Chair, MIT","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
81. Dr. Alex 81 is a talented researcher in HCI. They have many publications and their work is known at venues
like CVPR, NeurIPS. They have around 58 publications. I believe they are qualified for the O-1A visa.","I am honored to recommend Dr. Alex 81 for the EB-1A visa category. As Chair at MIT, I have closely followed
Dr. Alex 81's work in HCI.

Dr. Alex 81 has authored 58 peer-reviewed publications with approximately 4063 citations. Notably, Dr. Alex 81
received AAAI Fellow, Turing Award nomination. Dr. Alex 81's research appears at CVPR, NeurIPS and is widely
recognized in HCI.

In summary, Dr. Alex 81 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
case_82,EB-1A,"Dr. Alex 82 works in computer vision. Publications: 51. Citations: 226. Awards: Turing Award nomination. Key venues:
AAAI, ACL.","Dr. Jordan 82, Director, Caltech","I am pleased to write this letter. It is my pleasure to write this letter. I am writing to recommend Dr. Alex
82. Dr. Alex 82 is a talented researcher in computer vision. They have many publications and are recognized in
their field. They have around 51 publications. I believe they are qualified for the EB-1A visa. Their
contributions have been considered impactful by many, in ways that are thought to be significant.","I am honored to recommend Dr. Alex 82 for the EB-1A visa category. As Director at Caltech, I have closely
followed Dr. Alex 82's work in computer vision.

Dr. Alex 82 has authored 51 peer-reviewed publications with approximately 226 citations. Notably, Dr. Alex 82
received Turing Award nomination. Dr. Alex 82's research appears at AAAI, ACL and is widely recognized in
computer vision.

In summary, Dr. Alex 82 demonstrates sustained national and international acclaim. I strongly endorse this
petition and am available for any additional information."
